video-name,t-start,t-end,action-label,video-duration,filename,fps,video-frames,temporal-region-label
GLd3aX16zBg,90,102,grilled cheese,241.62,v_GLd3aX16zBg.mp4,30,7249,Action
GLd3aX16zBg,114,127,grilled cheese,241.62,v_GLd3aX16zBg.mp4,30,7249,Action
GLd3aX16zBg,132,138,grilled cheese,241.62,v_GLd3aX16zBg.mp4,30,7249,Action
GLd3aX16zBg,139,145,grilled cheese,241.62,v_GLd3aX16zBg.mp4,30,7249,Action
GLd3aX16zBg,173,174,grilled cheese,241.62,v_GLd3aX16zBg.mp4,30,7249,Action
H_9oM1Y60lU,67,102,burger,316.44,v_H_9oM1Y60lU.mp4,30,9491,Action
H_9oM1Y60lU,129,157,burger,316.44,v_H_9oM1Y60lU.mp4,30,9491,Action
H_9oM1Y60lU,202,222,burger,316.44,v_H_9oM1Y60lU.mp4,30,9491,Action
H_9oM1Y60lU,229,239,burger,316.44,v_H_9oM1Y60lU.mp4,30,9491,Action
H_9oM1Y60lU,264,305,burger,316.44,v_H_9oM1Y60lU.mp4,30,9491,Action
XOwypmUT5cc,77,98,general's chicken,698.71,v_XOwypmUT5cc.mp4,30,20960,Action
XOwypmUT5cc,117,166,general's chicken,698.71,v_XOwypmUT5cc.mp4,30,20960,Action
XOwypmUT5cc,175,193,general's chicken,698.71,v_XOwypmUT5cc.mp4,30,20960,Action
XOwypmUT5cc,201,264,general's chicken,698.71,v_XOwypmUT5cc.mp4,30,20960,Action
XOwypmUT5cc,269,319,general's chicken,698.71,v_XOwypmUT5cc.mp4,30,20960,Action
XOwypmUT5cc,325,403,general's chicken,698.71,v_XOwypmUT5cc.mp4,30,20960,Action
XOwypmUT5cc,513,579,general's chicken,698.71,v_XOwypmUT5cc.mp4,30,20960,Action
XOwypmUT5cc,580,588,general's chicken,698.71,v_XOwypmUT5cc.mp4,30,20960,Action
XOwypmUT5cc,600,618,general's chicken,698.71,v_XOwypmUT5cc.mp4,30,20960,Action
_xOx9hkJoBk,21,37,calamari,134.32,v__xOx9hkJoBk.mp4,30,4029,Action
_xOx9hkJoBk,57,67,calamari,134.32,v__xOx9hkJoBk.mp4,30,4029,Action
_xOx9hkJoBk,68,73,calamari,134.32,v__xOx9hkJoBk.mp4,30,4029,Action
_xOx9hkJoBk,74,79,calamari,134.32,v__xOx9hkJoBk.mp4,30,4029,Action
_xOx9hkJoBk,80,100,calamari,134.32,v__xOx9hkJoBk.mp4,30,4029,Action
67ilysu8CeU,16,23,indian chicken curry,217.01,v_67ilysu8CeU.mp4,30,6508,Action
67ilysu8CeU,25,40,indian chicken curry,217.01,v_67ilysu8CeU.mp4,30,6508,Action
67ilysu8CeU,67,109,indian chicken curry,217.01,v_67ilysu8CeU.mp4,30,6508,Action
67ilysu8CeU,131,158,indian chicken curry,217.01,v_67ilysu8CeU.mp4,30,6508,Action
67ilysu8CeU,168,197,indian chicken curry,217.01,v_67ilysu8CeU.mp4,30,6508,Action
nfYzqyureLo,28,54,mussels,259.09,v_nfYzqyureLo.mp4,30,7771,Action
nfYzqyureLo,55,80,mussels,259.09,v_nfYzqyureLo.mp4,30,7771,Action
nfYzqyureLo,81,123,mussels,259.09,v_nfYzqyureLo.mp4,30,7771,Action
nfYzqyureLo,129,144,mussels,259.09,v_nfYzqyureLo.mp4,30,7771,Action
nfYzqyureLo,161,165,mussels,259.09,v_nfYzqyureLo.mp4,30,7771,Action
nfYzqyureLo,173,180,mussels,259.09,v_nfYzqyureLo.mp4,30,7771,Action
nfYzqyureLo,196,210,mussels,259.09,v_nfYzqyureLo.mp4,30,7771,Action
nfYzqyureLo,220,228,mussels,259.09,v_nfYzqyureLo.mp4,30,7771,Action
skrWT6xHVoI,22,72,hash browns,191.59,v_skrWT6xHVoI.mp4,30,5746,Action
skrWT6xHVoI,74,80,hash browns,191.59,v_skrWT6xHVoI.mp4,30,5746,Action
skrWT6xHVoI,87,112,hash browns,191.59,v_skrWT6xHVoI.mp4,30,5746,Action
skrWT6xHVoI,114,132,hash browns,191.59,v_skrWT6xHVoI.mp4,30,5746,Action
skrWT6xHVoI,133,155,hash browns,191.59,v_skrWT6xHVoI.mp4,30,5746,Action
BGCW_PWhY9g,24,27,bulgogi,106.42,v_BGCW_PWhY9g.mp4,30,3191,Action
BGCW_PWhY9g,28,58,bulgogi,106.42,v_BGCW_PWhY9g.mp4,30,3191,Action
BGCW_PWhY9g,62,75,bulgogi,106.42,v_BGCW_PWhY9g.mp4,30,3191,Action
BGCW_PWhY9g,78,89,bulgogi,106.42,v_BGCW_PWhY9g.mp4,30,3191,Action
BGCW_PWhY9g,94,98,bulgogi,106.42,v_BGCW_PWhY9g.mp4,30,3191,Action
EjHxMfOdl1k,68,90,bean burrito,287.34000000000003,v_EjHxMfOdl1k.mp4,30,8620,Action
EjHxMfOdl1k,94,113,bean burrito,287.34000000000003,v_EjHxMfOdl1k.mp4,30,8620,Action
EjHxMfOdl1k,122,150,bean burrito,287.34000000000003,v_EjHxMfOdl1k.mp4,30,8620,Action
EjHxMfOdl1k,151,187,bean burrito,287.34000000000003,v_EjHxMfOdl1k.mp4,30,8620,Action
EjHxMfOdl1k,211,262,bean burrito,287.34000000000003,v_EjHxMfOdl1k.mp4,30,8620,Action
MIXkGU4TJp0,32,100,sauerkraut,266.94,v_MIXkGU4TJp0.mp4,30,8005,Action
MIXkGU4TJp0,105,141,sauerkraut,266.94,v_MIXkGU4TJp0.mp4,30,8005,Action
MIXkGU4TJp0,150,207,sauerkraut,266.94,v_MIXkGU4TJp0.mp4,30,8005,Action
Ap3g0IRcjzU,135,175,yaki udon noodle,492.52,v_Ap3g0IRcjzU.mp4,30,14775,Action
Ap3g0IRcjzU,176,179,yaki udon noodle,492.52,v_Ap3g0IRcjzU.mp4,30,14775,Action
Ap3g0IRcjzU,180,209,yaki udon noodle,492.52,v_Ap3g0IRcjzU.mp4,30,14775,Action
Ap3g0IRcjzU,214,225,yaki udon noodle,492.52,v_Ap3g0IRcjzU.mp4,30,14775,Action
Ap3g0IRcjzU,226,242,yaki udon noodle,492.52,v_Ap3g0IRcjzU.mp4,30,14775,Action
Ap3g0IRcjzU,245,267,yaki udon noodle,492.52,v_Ap3g0IRcjzU.mp4,30,14775,Action
Ap3g0IRcjzU,274,290,yaki udon noodle,492.52,v_Ap3g0IRcjzU.mp4,30,14775,Action
Ap3g0IRcjzU,299,323,yaki udon noodle,492.52,v_Ap3g0IRcjzU.mp4,30,14775,Action
Ap3g0IRcjzU,345,362,yaki udon noodle,492.52,v_Ap3g0IRcjzU.mp4,30,14775,Action
Ap3g0IRcjzU,372,411,yaki udon noodle,492.52,v_Ap3g0IRcjzU.mp4,30,14775,Action
Ap3g0IRcjzU,412,419,yaki udon noodle,492.52,v_Ap3g0IRcjzU.mp4,30,14775,Action
Ap3g0IRcjzU,425,449,yaki udon noodle,492.52,v_Ap3g0IRcjzU.mp4,30,14775,Action
7nH0Y3agsas,47,80,minestrone,218.29,v_7nH0Y3agsas.mp4,30,6547,Action
7nH0Y3agsas,81,89,minestrone,218.29,v_7nH0Y3agsas.mp4,30,6547,Action
7nH0Y3agsas,90,97,minestrone,218.29,v_7nH0Y3agsas.mp4,30,6547,Action
7nH0Y3agsas,98,126,minestrone,218.29,v_7nH0Y3agsas.mp4,30,6547,Action
7nH0Y3agsas,129,173,minestrone,218.29,v_7nH0Y3agsas.mp4,30,6547,Action
7nH0Y3agsas,182,187,minestrone,218.29,v_7nH0Y3agsas.mp4,30,6547,Action
wXA-1ZmvuEA,85,114,sour soup,431.98,v_wXA-1ZmvuEA.mp4,30,12959,Action
wXA-1ZmvuEA,120,202,sour soup,431.98,v_wXA-1ZmvuEA.mp4,30,12959,Action
wXA-1ZmvuEA,225,304,sour soup,431.98,v_wXA-1ZmvuEA.mp4,30,12959,Action
wXA-1ZmvuEA,338,365,sour soup,431.98,v_wXA-1ZmvuEA.mp4,30,12959,Action
wXA-1ZmvuEA,375,395,sour soup,431.98,v_wXA-1ZmvuEA.mp4,30,12959,Action
Kbrkj7wZ4UA,72,82,naan,466.40999999999997,v_Kbrkj7wZ4UA.mp4,30,13991,Action
Kbrkj7wZ4UA,85,98,naan,466.40999999999997,v_Kbrkj7wZ4UA.mp4,30,13991,Action
Kbrkj7wZ4UA,99,112,naan,466.40999999999997,v_Kbrkj7wZ4UA.mp4,30,13991,Action
Kbrkj7wZ4UA,113,140,naan,466.40999999999997,v_Kbrkj7wZ4UA.mp4,30,13991,Action
Kbrkj7wZ4UA,160,166,naan,466.40999999999997,v_Kbrkj7wZ4UA.mp4,30,13991,Action
Kbrkj7wZ4UA,235,293,naan,466.40999999999997,v_Kbrkj7wZ4UA.mp4,30,13991,Action
Kbrkj7wZ4UA,317,333,naan,466.40999999999997,v_Kbrkj7wZ4UA.mp4,30,13991,Action
Kbrkj7wZ4UA,343,346,naan,466.40999999999997,v_Kbrkj7wZ4UA.mp4,30,13991,Action
Kbrkj7wZ4UA,352,358,naan,466.40999999999997,v_Kbrkj7wZ4UA.mp4,30,13991,Action
pluBtIfxUvE,21,33,scrambled eggs,212.16,v_pluBtIfxUvE.mp4,30,6362,Action
